latitude_x,longitude_x,sample date,total alkalinity,electrical conductance,dissolved reactive phosphorus,grandid,distance_km,time,eta,ea_res,fracfull,melt,p,pet,p_res,qin_res,qout_res,s_res,snow,temp,latitude_y,longitude_y,aridity_index,residence_time,inflow_outflow_ratio,water_balance,pet_minus_eta
-28.760833,17.730278,2011-01-02,128.912,555.0,10.0,4257.0,433.834782017718,2011-01-02,1.8429741,3.6746478,0.1889676,0.0,8.123459,3.6353965,15.686911,0.08377548,0.06405522,27041264.0,0.0,21.355043,-30.3625,21.820833,0.4475183,322782560.0,1.3078635,6.3002048,1.7924224
-26.45,28.085833,2011-01-03,89.254,573.0,80.0,4166.0,65.45147034277144,2011-01-03,3.0119805,4.357188,1.0,0.0,0.0,4.1270385,0.0,1.1438367,1.0629609,12400000.0,0.0,20.607704,-25.879168,28.245832,,10840708.0,1.0760854,-2.9311047,1.115058
-26.861111,28.884722,2011-01-03,74.72,162.9,163.0,4178.0,35.85100646054864,2011-01-03,2.9997122,3.997007,0.019865613,0.0,2.2966876,3.6637974,2.8893015,0.01443775,1.9083266e-09,331755.75,0.0,20.277245,-26.5625,29.020834,1.5952529,22978356.0,7565660.0,-0.68858695,0.66408515
-27.671111,27.236944,2011-01-03,82.0,203.6,101.0,4197.0,2.6927947738419977,2011-01-03,2.9750345,3.3049862,0.9984137,0.0,10.331762,3.5010152,19.021896,1.0751002,0.9379144,698889.6,0.0,20.103796,-27.6625,27.2625,0.33885944,650069.3,1.1462669,7.493913,0.5259807
-27.356667,27.286389,2011-01-03,56.1,145.1,151.0,4197.0,34.08859704760659,2011-01-03,2.9750345,3.3049862,0.9984137,0.0,10.331762,3.5010152,19.021896,1.0751002,0.9379144,698889.6,0.0,20.103796,-27.6625,27.2625,0.33885944,650069.3,1.1462669,7.493913,0.5259807
-26.98472222,26.63227778,2011-01-04,196.0,452.0,158.0,4179.0,74.69430897155365,2011-01-04,3.9532654,4.6224637,1.0,0.0,21.706419,4.4380207,18.929813,10.348057,10.998983,14200000.0,0.0,20.707792,-26.629168,27.270834,0.2044566,1372238.4,0.9408194,17.102224,0.48475528
-25.127778,27.628889,2011-01-04,125.0,438.0,163.0,4139.0,53.911004392453954,2011-01-04,4.4697123,4.9665165,0.2647569,0.0,15.364159,4.9850144,9.471644,0.6923078,0.7554234,953124.8,0.0,23.464018,-24.904167,27.154167,0.32445738,1376735.6,0.91644996,10.831331,0.5153022
-25.20639,27.558,2011-01-04,116.62,568.0,69.0,4139.0,52.764453763892966,2011-01-04,4.4697123,4.9665165,0.2647569,0.0,15.364159,4.9850144,9.471644,0.6923078,0.7554234,953124.8,0.0,23.464018,-24.904167,27.154167,0.32445738,1376735.6,0.91644996,10.831331,0.5153022
-24.69514,27.40906,2011-01-04,181.831,583.0,158.0,4139.0,34.67291446414448,2011-01-04,4.4697123,4.9665165,0.2647569,0.0,15.364159,4.9850144,9.471644,0.6923078,0.7554234,953124.8,0.0,23.464018,-24.904167,27.154167,0.32445738,1376735.6,0.91644996,10.831331,0.5153022
-27.01011111,26.69808333,2011-01-04,82.2,289.8,192.0,4179.0,70.88445152996069,2011-01-04,3.9532654,4.6224637,1.0,0.0,21.706419,4.4380207,18.929813,10.348057,10.998983,14200000.0,0.0,20.707792,-26.629168,27.270834,0.2044566,1372238.4,0.9408194,17.102224,0.48475528
