latitude,longitude,sample date,total alkalinity,electrical conductance,dissolved reactive phosphorus,aet,aet_roll3,aet_roll6,aet_roll12,def,pet,ppt,ppt_roll3,ppt_roll6,ppt_roll12,q,soil,tmax,tmin,vpd,et_deficit,pet_ppt_ratio,runoff_coefficient,temp_range,aet_pet_ration,temp_mean
-28.760833,17.730278,2011-01-02,128.912,555.0,10.0,31.1,39.800003,44.8,63.399998,143.1,174.2,32.7,41.8,47.2,66.9,1.6,0.0,36.1,22.689999,2.919999838,143.1,5.327217125382262,0.04892966360856269,13.410001000000001,0.17853042479908154,29.3949995
-26.861111,28.884722,2011-01-03,74.72,162.9,163.0,53.8,258.1,482.6,599.10004,70.3,124.1,51.1,281.2,516.4000000000001,631.8000000000001,2.6,12.80000019,27.16,13.219999,0.949999988,70.3,2.4285714285714284,0.050880626223091974,13.940001,0.43352135374697826,20.1899995
-26.45,28.085833,2011-01-03,89.254,573.0,80.0,60.8,255.8,469.90002,595.9,66.700005,127.5,62.7,273.1,497.6,625.9000000000001,3.1,6.800000191,27.519999,14.09,1.019999981,66.7,2.0334928229665072,0.049441786283891544,13.429998999999999,0.4768627450980392,20.8049995
-27.671111,27.236944,2011-01-03,82.0,203.6,101.0,83.200005,327.30005,550.3,677.9,46.5,129.7,84.2,356.7,590.8000000000001,721.3000000000002,4.2,7.200000286,28.869999,14.639999,1.220000029,46.499994999999984,1.5403800475059382,0.0498812351543943,14.23,0.6414803777949114,21.754998999999998
-27.356667,27.286389,2011-01-03,56.1,145.1,151.0,77.3,307.90002,523.10004,647.80005,51.9,129.2,78.0,330.3,556.3,685.6999999999999,3.9,7.800000191,28.67,14.69,1.179999948,51.89999999999999,1.6564102564102563,0.049999999999999996,13.980000000000002,0.598297213622291,21.68
-27.01011111,26.69808333,2011-01-04,82.2,289.8,192.0,98.6,261.30002,595.2,660.3,0.0,98.6,106.0,275.7,631.7,699.8,5.3,5.900000095,24.18,9.809999,0.909999967,0.0,0.9301886792452829,0.049999999999999996,14.370001,1.0,16.9949995
-25.127778,27.628889,2011-01-04,125.0,438.0,163.0,105.5,182.90002,454.2,529.89996,0.0,105.5,135.1,216.5,502.0,581.7,6.8,24.0,27.17,12.62,1.049999952,0.0,0.7809030347890452,0.050333086602516654,14.550000000000002,1.0,19.895
-25.20639,27.558,2011-01-04,116.62,568.0,69.0,103.700005,184.3,459.0,536.5,0.0,103.700005,143.4,228.3,517.5000000000001,599.0000000000001,7.2,33.60000229,27.0,12.5199995,1.039999962,0.0,0.7231520571827057,0.0502092050209205,14.4800005,1.0,19.75999975
-24.69514,27.40906,2011-01-04,181.831,583.0,158.0,111.8,197.5,472.6,539.2,0.0,111.8,141.1,231.3,520.8,590.8,7.1,23.60000038,27.74,13.49,1.120000005,0.0,0.7923458540042523,0.05031892274982282,14.249999999999998,1.0,20.615
-26.98472222,26.63227778,2011-01-04,196.0,452.0,158.0,98.200005,265.09998,597.7,666.69995,0.0,98.200005,109.3,281.6,638.5,709.7,5.5,10.69999981,24.35,9.98,0.930000007,0.0,0.8984446935041172,0.050320219579139985,14.370000000000001,1.0,17.165
-28.141944,26.417778,2011-01-04,94.718,227.9,132.0,87.700005,267.10004,619.80005,682.7,6.1,93.8,90.9,262.70000000000005,655.3,719.1,4.5,4.800000191,23.88,8.78,0.909999967,6.099994999999993,1.0319031903190319,0.0495049504950495,15.1,0.9349680703624734,16.33
-27.398611,26.614722,2011-01-04,86.8,226.3,114.0,92.700005,259.19998,607.3,682.1,8.2,100.9,97.2,271.40000000000003,641.8000000000002,720.4000000000001,4.9,2.900000095,24.8,9.87,0.97999996,8.199995000000001,1.0380658436213992,0.050411522633744855,14.930000000000001,0.9187314667988107,17.335
-33.501667,21.624167,2011-01-04,201.0,769.0,74.0,15.5,43.699997,107.80001,238.09998,84.700005,100.200005,16.3,45.900000000000006,113.4,250.5,0.8,0.100000002,24.55,9.33,0.97999996,84.700005,6.147239570552148,0.049079754601226995,15.22,0.15469061104338266,16.94
-32.502778,19.535833,2011-01-04,10.387,73.0,10.0,15.400001,28.800001,47.800003,156.09999,104.5,119.9,16.2,30.2,50.2,164.1,0.8,0.600000024,27.06,10.92,1.350000024,104.499999,7.401234567901235,0.04938271604938272,16.14,0.12844037531276062,18.99
-25.45963889,28.26430556,2011-01-04,108.94,396.0,82.0,103.6,176.79997,469.2,530.60004,0.0,103.6,141.9,218.9,526.5,591.1,7.1,32.5,26.4,12.04,1.029999971,0.0,0.730091613812544,0.0500352360817477,14.36,1.0,19.22
-27.495556,26.074722,2011-01-04,67.8,218.6,91.0,94.5,277.60004,602.0,672.69995,5.2000003,99.700005,99.5,292.20000000000005,633.6,707.9000000000001,5.0,0.400000006,24.73,9.17,0.959999979,5.200005000000004,1.0020101005025126,0.05025125628140704,15.56,0.9478434830569968,16.95
-26.648056,27.089444,2011-01-05,211.0,532.0,62.0,70.5,231.50003,556.8,646.60004,13.0,83.5,63.3,255.2,598.2,692.6,3.2,12.19999981,21.92,5.92,0.879999995,13.0,1.3191153238546605,0.05055292259083729,16.0,0.844311377245509,13.920000000000002
-26.970278,27.211111,2011-01-05,71.5,248.4,117.0,72.5,236.70001,568.69995,669.2,9.6,82.1,66.7,255.2,612.6,717.8000000000001,3.3,14.90000057,21.859999,6.14,0.899999976,9.599999999999994,1.2308845577211394,0.04947526236881559,15.719998999999998,0.8830694275274057,13.9999995
-27.38972222,26.46388889,2011-01-05,82.14,255.5,74.0,83.200005,259.2,615.1,711.89996,0.0,83.200005,97.4,282.70000000000005,657.4,759.1999999999999,4.9,9.699999809,22.81,6.98,0.98999995,0.0,0.8542094969199179,0.050308008213552365,15.829999999999998,1.0,14.895
-27.044444,27.005,2011-01-05,83.0,220.9,85.0,75.6,246.4,585.2,683.10004,6.8,82.4,74.60000000000001,263.50000000000006,627.7000000000002,729.8000000000001,3.7,13.0,21.949999,6.25,0.899999976,6.800000000000011,1.10455764075067,0.049597855227882036,15.699998999999998,0.9174757281553396,14.0999995
-30.830556,26.921389,2011-01-06,62.099,145.0,10.0,53.100002,187.90002,490.30005,733.69995,3.9,57.0,54.1,205.7,524.0,780.2,2.7,8.0,14.589999,-0.94,0.509999991,3.8999979999999965,1.0536044362292052,0.04990757855822551,15.529999,0.9315789824561405,6.8249995000000006
-27.00222,28.76528,2011-01-06,34.855,114.5,150.0,37.100002,204.90004,477.30002,716.8,32.9,70.0,26.4,219.3,515.1999999999999,764.3000000000001,1.3,15.60000038,17.38,-2.55,0.639999986,32.899998,2.651515151515152,0.04924242424242425,19.93,0.5300000285714286,7.414999999999999
-27.02314,28.59389,2011-01-06,41.408,148.8,152.0,32.600002,202.30002,479.6,722.7999,39.8,72.4,27.0,214.4,515.6,768.5,1.3,13.5,17.869999,-2.26,0.680000007,39.799998,2.6814814814814816,0.04814814814814815,20.129998999999998,0.45027627071823206,7.8049995
-30.679722,26.7125,2011-01-06,55.297,138.3,44.0,44.4,183.50002,490.00003,723.2001,15.400001,59.8,44.900000000000006,198.2,520.8000000000001,766.2,2.2,5.099999905,15.74,-0.61,0.569999993,15.399999999999999,1.33184855233853,0.04899777282850779,16.35,0.7424749163879599,7.565
