Latitude,Longitude,Sample Date,soil
-24.679167,30.8025,22/10/2012,125.9000015
-26.861111,28.884722,22/10/2012,2.200000048
-26.45,28.085833,22/10/2012,2
-31.396,29.2651,22/10/2012,9.800000191
-31.554722,29.245556,22/10/2012,11.80000019
-27.01011111,26.69808333,23/10/2012,1.100000024
-24.183889,30.823889,23/10/2012,3.400000095
-25.127778,27.628889,23/10/2012,2.799999952
-25.20639,27.558,23/10/2012,2.900000095
-24.69514,27.40906,23/10/2012,3.299999952
-28.747778,31.745833,23/10/2012,63.29999924
-26.648056,27.089444,23/10/2012,1.5
-26.970278,27.211111,23/10/2012,1.5
-26.880278,26.965,23/10/2012,1.399999976
-27.802778,28.768333,23/10/2012,11.10000038
-27.38972222,26.46388889,23/10/2012,1.200000048
-26.98472222,26.63227778,23/10/2012,1.100000024
-28.69485,28.23487,23/10/2012,10.10000038
-30.568333,29.422778,23/10/2012,15.30000019
-30.570833,29.150556,23/10/2012,15.5
-31.104278,29.399722,23/10/2012,13.5
-33.501667,21.624167,23/10/2012,0.100000002
-29.161667,23.696389,24/10/2012,0.100000002
-24.39619444,27.08983333,24/10/2012,3.799999952
-24.058889,31.237222,24/10/2012,1.200000048
-28.141944,26.417778,24/10/2012,1.100000024
-27.398611,26.614722,24/10/2012,1.100000024
-27.671111,27.236944,24/10/2012,1.200000048
-30.679722,26.7125,24/10/2012,1
-30.336111,27.359444,24/10/2012,1.5
-28.768056,20.720556,24/10/2012,0
-30.86013889,29.07125,24/10/2012,4.200000286
-30.77586667,29.03221667,24/10/2012,8.300000191
-33.13083,18.86278,24/10/2012,8.699999809
-28.75,30.442778,25/10/2012,13.80000019
-29.161667,30.629722,25/10/2012,70.59999847
-27.38972222,26.46388889,25/10/2012,1.200000048
-27.671111,27.236944,28/10/2012,1.200000048
-28.068333,31.55,28/10/2012,37.5
-25.99136,27.84208,29/10/2012,2
-27.00222,28.76528,29/10/2012,2.100000143
-26.45,28.085833,29/10/2012,2
-27.01011111,26.69808333,30/10/2012,1.100000024
-26.648056,27.089444,30/10/2012,1.5
-26.970278,27.211111,30/10/2012,1.5
-26.880278,26.965,30/10/2012,1.399999976
-26.98472222,26.63227778,30/10/2012,1.100000024
-29.160278,26.573333,30/10/2012,1
-25.45963889,28.26430556,30/10/2012,2.299999952
-28.338333,31.373611,30/10/2012,61.70000076
-25.57877778,29.12747222,30/10/2012,2.100000143
-29.161667,23.696389,31/10/2012,0.100000002
-25.81048333,27.90955222,31/10/2012,2.100000143
-29.641944,30.6875,31/10/2012,50.20000076
-22.769722,30.886944,31/10/2012,33.60000229
-28.44555556,32.325,21/02/2013,9.600000381
-26.73806,27.59194,31/10/2012,1.700000048
-23.658056,31.05,1/11/2012,1
-29.161667,23.696389,2/11/2012,0.100000002
-28.7115,24.07288889,2/11/2012,0.200000003
-29.1825,23.575556,2/11/2012,0.100000002
-29.7775,29.470833,5/11/2012,27.80000114
-29.987778,29.851667,5/11/2012,54.20000076
-29.744167,29.905833,5/11/2012,45.70000076
-26.970278,27.211111,5/11/2012,1.5
-26.45,28.085833,5/11/2012,2
-33.818056,19.694722,5/11/2012,5.400000095
-33.897778,20.012778,5/11/2012,4.300000191
-34.065833,20.404167,6/11/2012,4.700000286
-24.670833,28.560833,6/11/2012,2.900000095
-25.127778,27.628889,6/11/2012,2.799999952
-25.20639,27.558,6/11/2012,2.900000095
-24.39619444,27.08983333,6/11/2012,3.799999952
-24.69514,27.40906,6/11/2012,3.299999952
-26.03611,30.99778,6/11/2012,139.6999969
-27.363611,31.783333,6/11/2012,32.60000229
-30.733889,29.828333,6/11/2012,24.10000038
-27.38972222,26.46388889,6/11/2012,1.200000048
-27.398611,26.614722,6/11/2012,1.100000024
-27.671111,27.236944,6/11/2012,1.200000048
-29.160278,26.573333,6/11/2012,1
-28.69485,28.23487,6/11/2012,10.10000038
-28.883333,27.89,6/11/2012,10.90000057
-34.092222,21.295278,6/11/2012,4.099999905
-34.075556,20.145556,6/11/2012,5.200000286
-29.161667,23.696389,7/11/2012,0.100000002
-22.935,28.004167,7/11/2012,0.200000003
-26.905,32.324722,7/11/2012,36.70000076
-30.398056,30.601944,7/11/2012,27.70000076
-30.27402,30.69602,7/11/2012,35.10000229
-27.3,28.586944,7/11/2012,1.800000072
-29.615556,27.065278,7/11/2012,1.100000024
-34.405833,19.600556,7/11/2012,8.699999809
-27.01011111,26.69808333,8/11/2012,1.100000024
-30.830556,26.921389,8/11/2012,1.100000024
-22.91028,29.61111,8/11/2012,3.200000048
-26.861111,28.884722,8/11/2012,2.200000048
-27.00222,28.76528,8/11/2012,2.100000143
-27.02314,28.59389,8/11/2012,2.100000143
-26.648056,27.089444,8/11/2012,1.5
-26.880278,26.965,8/11/2012,1.399999976
-26.98472222,26.63227778,8/11/2012,1.100000024
-29.028629,24.638389,8/11/2012,0.100000002
-30.679722,26.7125,8/11/2012,1
-30.160091,27.40124,8/11/2012,1.399999976
-30.336111,27.359444,8/11/2012,1.5
-34.329722,18.990278,8/11/2012,18.20000076
-29.658056,25.973333,9/11/2012,0.900000036
-31.000833,26.353056,9/11/2012,0.800000012
-29.803611,30.516111,9/11/2012,48.29999924
-25.99136,27.84208,12/11/2012,2
-26.861111,28.884722,12/11/2012,2.200000048
-26.45,28.085833,12/11/2012,2
-27.671111,27.236944,12/11/2012,1.200000048
-33.38056,19.30167,12/11/2012,7.599999905
-32.502778,19.535833,12/11/2012,0.699999988
-27.01011111,26.69808333,13/11/2012,1.100000024
-31.860278,18.6875,13/11/2012,0.699999988
-25.73411,27.21422,13/11/2012,2.100000143
-22.43772222,31.07805556,13/11/2012,0.5
-29.380556,30.2775,13/11/2012,61.70000076
-27.169444,29.233889,13/11/2012,1.800000072
-27.00222,28.76528,13/11/2012,2.100000143
-26.970278,27.211111,13/11/2012,1.5
-26.880278,26.965,13/11/2012,1.399999976
-26.98472222,26.63227778,13/11/2012,1.100000024
-27.935,26.126667,13/11/2012,1
-32.595833,19.009444,13/11/2012,4.599999905
-25.45963889,28.26430556,13/11/2012,2.299999952
-29.161667,23.696389,14/11/2012,0.100000002
-25.81048333,27.90955222,14/11/2012,2.100000143
-27.3,28.586944,14/11/2012,1.800000072
-33.31388889,19.07472222,14/11/2012,10.60000038
-33.13083,18.86278,14/11/2012,8.699999809
-27.5275,30.858056,15/11/2012,72.80000305
-33.7075,18.97444444,15/11/2012,11.69999981
-34.250556,20.9925,16/11/2012,7.599999905
-24.679167,30.8025,19/11/2012,125.9000015
-26.45,28.085833,19/11/2012,2
-28.116667,26.725278,19/11/2012,1
-29.160278,26.573333,19/11/2012,1
-27.01011111,26.69808333,20/11/2012,1.100000024
-24.183889,30.823889,20/11/2012,3.400000095
-25.127778,27.628889,20/11/2012,2.799999952
-25.20639,27.558,20/11/2012,2.900000095
-26.861111,28.884722,20/11/2012,2.200000048
-27.00222,28.76528,20/11/2012,2.100000143
-26.648056,27.089444,20/11/2012,1.5
-26.970278,27.211111,20/11/2012,1.5
-26.880278,26.965,20/11/2012,1.399999976
-26.98472222,26.63227778,20/11/2012,1.100000024
-31.396,29.2651,20/11/2012,9.800000191
-31.554722,29.245556,20/11/2012,11.80000019
-34.031944,22.053333,20/11/2012,4.599999905
-34.039722,22.133333,20/11/2012,5.099999905
-29.161667,23.696389,21/11/2012,0.100000002
-28.7115,24.07288889,21/11/2012,0.200000003
-28.747778,31.745833,21/11/2012,63.29999924
-28.141944,26.417778,21/11/2012,1.100000024
-30.27402,30.69602,10/10/2012,35.10000229
-29.160278,26.573333,21/11/2012,1
-30.570833,29.150556,21/11/2012,15.5
-31.104278,29.399722,21/11/2012,13.5
-34.02861,22.22222,21/11/2012,5.5
-34.005833,22.351111,21/11/2012,7
-29.140556,31.391944,22/11/2012,70.09999847
-24.39619444,27.08983333,22/11/2012,3.799999952
-28.75,30.442778,22/11/2012,13.80000019
-27.38972222,26.46388889,22/11/2012,1.200000048
-27.671111,27.236944,22/11/2012,1.200000048
-30.568333,29.422778,22/11/2012,15.30000019
-31.031389,28.883333,22/11/2012,4.099999905
-30.86013889,29.07125,22/11/2012,4.200000286
-30.77586667,29.03221667,22/11/2012,8.300000191
-25.99136,27.84208,26/11/2012,2
-26.73806,27.59194,26/11/2012,1.700000048
-26.45,28.085833,26/11/2012,2
-33.818056,19.694722,26/11/2012,5.400000095
-33.897778,20.012778,26/11/2012,4.300000191
-34.065833,20.404167,27/11/2012,4.700000286
-28.404444,30.013056,27/11/2012,15.5
-27.169444,29.233889,27/11/2012,1.800000072
-26.861111,28.884722,27/11/2012,2.200000048
-27.3,28.586944,27/11/2012,1.800000072
-29.042222,24.6,27/11/2012,0.100000002
-29.028629,24.638389,27/11/2012,0.100000002
-33.501667,21.624167,27/11/2012,0.100000002
-34.075556,20.145556,27/11/2012,5.200000286
-25.45963889,28.26430556,27/11/2012,2.299999952
-28.338333,31.373611,27/11/2012,61.70000076
-28.068333,31.55,27/11/2012,37.5
