Latitude,Longitude,Sample Date,soil_roll3,soil_roll6,soil_roll12
-28.760833,17.730278,02-01-2011,0.0,0.0,0.0
-26.861111,28.884722,03-01-2011,66.6,78.700005,118.49999
-26.45,28.085833,03-01-2011,24.7,34.7,65.4
-27.671111,27.236944,03-01-2011,45.800003,52.4,74.00001
-27.356667,27.286389,03-01-2011,40.000004,45.9,62.9
-27.01011111,26.69808333,04-01-2011,14.1,21.400002,28.599998
-25.127778,27.628889,04-01-2011,26.2,29.599998,37.0
-25.20639,27.558,04-01-2011,35.800003,39.2,46.600002
-24.69514,27.40906,04-01-2011,26.2,30.400002,39.4
-26.98472222,26.63227778,04-01-2011,21.9,33.7,48.2
-28.141944,26.417778,04-01-2011,19.800003,45.600002,61.4
-27.398611,26.614722,04-01-2011,9.799999,15.1,18.1
-33.501667,21.624167,04-01-2011,0.3,0.6,1.2000002
-32.502778,19.535833,04-01-2011,1.8,3.7000003,8.099999
-25.45963889,28.26430556,04-01-2011,35.1,39.3,48.9
-27.495556,26.074722,04-01-2011,1.2,2.4000003,5.4000006
-26.648056,27.089444,05-01-2011,36.2,39.800003,45.4
-26.970278,27.211111,05-01-2011,46.100002,70.200005,81.299995
-27.38972222,26.46388889,05-01-2011,10.5,11.700001,14.700001
-27.044444,27.005,05-01-2011,37.600002,61.7,74.200005
-30.830556,26.921389,06-01-2011,18.1,19.5,22.5
-27.00222,28.76528,06-01-2011,73.00001,141.9,168.09999
-27.02314,28.59389,06-01-2011,55.89999,122.29999,148.59999
-30.679722,26.7125,06-01-2011,12.4,13.599999,16.0
-30.160091,27.40124,06-01-2011,42.500004,94.700005,112.299995
-32.595833,19.009444,06-01-2011,23.7,31.400003,50.800003
-25.99136,27.84208,10-01-2011,22.600002,81.2,162.0
-26.73806,27.59194,10-01-2011,18.900003,65.100006,138.7
-26.45,28.085833,10-01-2011,19.5,56.200005,111.000015
-30.86013889,29.07125,10-01-2011,40.600014,130.19998,280.5
-27.356667,27.286389,10-01-2011,12.800002,36.499996,94.700005
-27.01011111,26.69808333,11-01-2011,7.7,18.400002,43.6
-25.73411,27.21422,11-01-2011,19.300001,55.199997,139.1
-26.98472222,26.63227778,11-01-2011,9.2,23.600004,62.800003
-27.398611,26.614722,11-01-2011,9.200001,23.600002,45.7
-27.671111,27.236944,11-01-2011,10.000002,26.599998,90.5
-29.160278,26.573333,11-01-2011,9.600003,28.19999,91.49999
-34.250556,20.9925,11-01-2011,50.499992,213.20001,236.50002
-25.45963889,28.26430556,11-01-2011,19.400002,51.100002,107.00001
-25.81048333,27.90955222,12-01-2011,17.500004,46.499996,148.90001
-27.273889,28.49,12-01-2011,15.199999,41.099983,190.3
-27.4275,28.525833,12-01-2011,13.100002,35.199997,167.00002
-28.883333,27.89,12-01-2011,11.5,31.899998,149.60002
-27.00222,28.76528,13-01-2011,17.000006,44.799995,186.7
-27.02314,28.59389,13-01-2011,16.299992,41.899998,164.2
-30.534167,24.961944,13-01-2011,0.0,0.0,0.0
-28.460833,21.248889,13-01-2011,0.0,0.0,0.0
-29.658056,25.973333,14-01-2011,7.4,19.599995,40.899998
-28.760833,17.730278,16-01-2011,0.0,0.0,0.0
-25.513889,31.224444,17-01-2011,44.999992,119.899994,382.7
-26.861111,28.884722,17-01-2011,17.699995,45.90001,180.79999
-31.554722,29.245556,17-01-2011,96.600006,178.59999,348.0
-28.058889,30.373611,17-01-2011,13.800007,32.900005,147.70003
-25.127778,27.628889,18-01-2011,20.199999,49.100002,106.9
-25.20639,27.558,18-01-2011,21.600002,53.699997,127.20002
-24.69514,27.40906,18-01-2011,23.0,55.4,115.5
-25.681111,31.783333,18-01-2011,35.3,84.90001,190.59999
-27.802778,28.768333,18-01-2011,11.4000025,30.7,139.19998
-27.398611,26.614722,18-01-2011,8.300001,20.400002,47.7
-31.104278,29.399722,18-01-2011,73.5,166.4,375.4
-31.396,29.2651,18-01-2011,83.3,163.80002,337.10004
-33.38056,19.30167,18-01-2011,30.69999,119.80001,188.80002
-33.31388889,19.07472222,18-01-2011,37.79999,137.5,216.99998
-27.495556,26.074722,18-01-2011,9.700005,25.800001,55.800003
-24.39619444,27.08983333,19-01-2011,27.900002,69.19998,161.3
-26.970278,27.211111,19-01-2011,11.800003,30.5,108.899994
-26.880278,26.965,19-01-2011,11.099998,28.0,91.5
-27.273889,28.49,19-01-2011,15.199999,41.099983,190.3
-27.3,28.586944,19-01-2011,14.500001,38.799988,178.5
-27.044444,27.005,19-01-2011,11.000001,28.099998,96.9
-30.568333,29.422778,19-01-2011,30.599998,114.200005,318.00003
-30.570833,29.150556,19-01-2011,23.200003,77.399994,222.5
-34.031944,22.053333,19-01-2011,26.100002,113.000015,163.4
-33.13083,18.86278,19-01-2011,26.200008,77.80001,124.4
-33.7075,18.97444444,19-01-2011,44.5,202.7,314.7
-25.57877778,29.12747222,19-01-2011,16.300005,41.4,130.6
-26.006389,29.253889,20-01-2011,18.499994,47.099995,172.79999
-27.02314,28.59389,20-01-2011,16.299992,41.899998,164.2
-30.679722,26.7125,20-01-2011,6.999999,17.6,31.200003
-28.460833,21.248889,20-01-2011,0.0,0.0,0.0
-30.77586667,29.03221667,20-01-2011,23.799995,88.99999,238.10002
-24.925278,29.324444,21-01-2011,13.399998,34.0,101.700005
-28.460833,21.248889,21-01-2011,0.0,0.0,0.0
-24.679167,30.8025,24-01-2011,53.400024,151.19998,679.7
-25.99136,27.84208,24-01-2011,16.7,44.399994,165.3
-25.49037,30.6986,24-01-2011,58.20002,151.1,432.90002
-26.970278,27.211111,24-01-2011,11.800003,30.5,108.899994
-27.671111,27.236944,24-01-2011,8.900002,22.499998,91.2
-27.356667,27.286389,24-01-2011,10.000002,24.999996,97.200005
-27.01011111,26.69808333,25-01-2011,7.1,16.500002,44.8
-26.98472222,26.63227778,25-01-2011,8.299999,20.400003,63.600002
-27.398611,26.614722,25-01-2011,8.300001,20.400002,47.7
-33.818056,19.694722,25-01-2011,23.000004,96.8,152.7
-25.45963889,28.26430556,25-01-2011,17.2,43.2,110.700005
-33.897778,20.012778,25-01-2011,17.700005,64.2,98.000015
-25.81048333,27.90955222,26-01-2011,17.500004,46.499996,148.90001
-34.065833,20.404167,26-01-2011,22.400002,81.799995,122.399994
-24.058889,31.237222,26-01-2011,4.200001,8.499998,17.800007
-26.648056,27.089444,26-01-2011,11.499999,29.000002,76.8
-26.880278,26.965,26-01-2011,11.099998,28.0,91.5
-27.273889,28.49,26-01-2011,15.199999,41.099983,190.3
-27.044444,27.005,26-01-2011,11.000001,28.099998,96.9
-34.092222,21.295278,26-01-2011,20.100014,86.799995,134.2
