Latitude,Longitude,Sample Date,q_roll3,q_roll6,q_roll12
-28.760833,17.730278,02-01-2011,2.0,2.2,3.3000000000000007
-26.861111,28.884722,03-01-2011,14.200000000000001,26.000000000000004,31.700000000000003
-26.45,28.085833,03-01-2011,13.6,24.8,31.2
-27.671111,27.236944,03-01-2011,24.200000000000003,35.900000000000006,42.4
-27.356667,27.286389,03-01-2011,16.5,27.700000000000003,34.199999999999996
-27.01011111,26.69808333,04-01-2011,13.800000000000006,31.5,35.0
-25.127778,27.628889,04-01-2011,10.9,25.200000000000003,29.2
-25.20639,27.558,04-01-2011,11.5,26.0,30.1
-24.69514,27.40906,04-01-2011,11.600000000000001,26.099999999999998,29.7
-26.98472222,26.63227778,04-01-2011,14.099999999999998,32.0,35.70000000000001
-28.141944,26.417778,04-01-2011,13.100000000000001,32.7,35.900000000000006
-27.398611,26.614722,04-01-2011,13.599999999999998,32.2,36.2
-33.501667,21.624167,04-01-2011,2.2,5.6,12.399999999999999
-32.502778,19.535833,04-01-2011,1.5,2.5,8.1
-25.45963889,28.26430556,04-01-2011,11.000000000000002,26.400000000000002,29.60000000000001
-27.495556,26.074722,04-01-2011,14.600000000000003,31.599999999999998,35.4
-26.648056,27.089444,05-01-2011,12.8,29.900000000000006,34.50000000000001
-26.970278,27.211111,05-01-2011,12.700000000000001,30.5,35.800000000000004
-27.38972222,26.46388889,05-01-2011,14.1,32.800000000000004,37.90000000000001
-27.044444,27.005,05-01-2011,13.199999999999998,31.4,36.6
-30.830556,26.921389,06-01-2011,10.199999999999998,26.099999999999998,38.800000000000004
-27.00222,28.76528,06-01-2011,10.9,25.7,38.1
-27.02314,28.59389,06-01-2011,10.7,25.7,38.300000000000004
-30.679722,26.7125,06-01-2011,9.900000000000002,26.0,38.2
-30.160091,27.40124,06-01-2011,11.099999999999998,58.099999999999994,74.19999999999999
-32.595833,19.009444,06-01-2011,6.3,7.1,11.799999999999999
-25.99136,27.84208,10-01-2011,3.000000000000003,7.199999999999996,70.69999999999997
-26.73806,27.59194,10-01-2011,2.4999999999999987,6.999999999999999,38.0
-26.45,28.085833,10-01-2011,2.899999999999998,7.400000000000002,37.10000000000001
-30.86013889,29.07125,10-01-2011,1.9000000000000095,13.8,127.40000000000005
-27.356667,27.286389,10-01-2011,2.099999999999999,7.299999999999999,39.3
-27.01011111,26.69808333,11-01-2011,3.800000000000006,5.899999999999999,37.4
