LATITUDE,LONGITUDE,SAMPLE DATE,VPD
-24.679167,30.8025,22-10-2012,0.8299999833
-26.861111,28.884722,22-10-2012,1.039999962
-26.45,28.085833,22-10-2012,1.189999938
-31.396,29.2651,22-10-2012,0.9099999666
-31.554722,29.245556,22-10-2012,0.7299999595
-27.01011111,26.69808333,23-10-2012,1.539999962
-24.183889,30.823889,23-10-2012,1.439999938
-25.127778,27.628889,23-10-2012,1.579999924
-25.20639,27.558,23-10-2012,1.539999962
-24.69514,27.40906,23-10-2012,1.639999986
-28.747778,31.745833,23-10-2012,1
-26.648056,27.089444,23-10-2012,1.329999924
-26.970278,27.211111,23-10-2012,1.399999976
-26.880278,26.965,23-10-2012,1.419999957
-27.802778,28.768333,23-10-2012,1.059999943
-27.38972222,26.46388889,23-10-2012,1.699999928
-26.98472222,26.63227778,23-10-2012,1.569999933
-28.69485,28.23487,23-10-2012,1.139999986
-30.568333,29.422778,23-10-2012,0.8700000048
-30.570833,29.150556,23-10-2012,0.8999999762
-31.104278,29.399722,23-10-2012,0.8999999762
-33.501667,21.624167,23-10-2012,1.370000005
-29.161667,23.696389,24-10-2012,2.690000057
-24.39619444,27.08983333,24-10-2012,1.719999909
-24.058889,31.237222,24-10-2012,1.419999957
-28.141944,26.417778,24-10-2012,1.75999999
-27.398611,26.614722,24-10-2012,1.669999957
-27.671111,27.236944,24-10-2012,1.519999981
-30.679722,26.7125,24-10-2012,1.829999924
-30.336111,27.359444,24-10-2012,1.549999952
-28.768056,20.720556,24-10-2012,3.129999876
-30.86013889,29.07125,24-10-2012,1.029999971
-30.77586667,29.03221667,24-10-2012,1.039999962
-33.13083,18.86278,24-10-2012,1.730000019
-28.75,30.442778,25-10-2012,1.289999962
-29.161667,30.629722,25-10-2012,0.7599999905
-27.38972222,26.46388889,25-10-2012,1.699999928
-27.671111,27.236944,28-10-2012,1.519999981
-28.068333,31.55,28-10-2012,1.279999971
-25.99136,27.84208,29-10-2012,1.230000019
-27.00222,28.76528,29-10-2012,1.090000033
-26.45,28.085833,29-10-2012,1.189999938
-27.01011111,26.69808333,30-10-2012,1.539999962
-26.648056,27.089444,30-10-2012,1.329999924
