Latitude,Longitude,Sample Date,aet_roll3,aet_roll6,aet_roll12
-28.760833,17.730278,02-01-2011,39.800003,44.8,63.399998
-26.861111,28.884722,03-01-2011,258.1,482.6,599.10004
-26.45,28.085833,03-01-2011,255.8,469.90002,595.9
-27.671111,27.236944,03-01-2011,327.30005,550.3,677.9
-27.356667,27.286389,03-01-2011,307.90002,523.10004,647.80005
-27.01011111,26.69808333,04-01-2011,261.30002,595.2,660.3
-25.127778,27.628889,04-01-2011,182.90002,454.2,529.89996
-25.20639,27.558,04-01-2011,184.3,459.0,536.5
-24.69514,27.40906,04-01-2011,197.5,472.6,539.2
-26.98472222,26.63227778,04-01-2011,265.09998,597.7,666.69995
-28.141944,26.417778,04-01-2011,267.10004,619.80005,682.7
-27.398611,26.614722,04-01-2011,259.19998,607.3,682.1
-33.501667,21.624167,04-01-2011,43.699997,107.80001,238.09998
-32.502778,19.535833,04-01-2011,28.800001,47.800003,156.09999
-25.45963889,28.26430556,04-01-2011,176.79997,469.2,530.60004
-27.495556,26.074722,04-01-2011,277.60004,602.0,672.69995
-26.648056,27.089444,05-01-2011,231.50003,556.8,646.60004
-26.970278,27.211111,05-01-2011,236.70001,568.69995,669.2
-27.38972222,26.46388889,05-01-2011,259.2,615.1,711.89996
-27.044444,27.005,05-01-2011,246.4,585.2,683.10004
-30.830556,26.921389,06-01-2011,187.90002,490.30005,733.69995
-27.00222,28.76528,06-01-2011,204.90004,477.30002,716.8
-27.02314,28.59389,06-01-2011,202.30002,479.6,722.7999
-30.679722,26.7125,06-01-2011,183.50002,490.00003,723.2001
-30.160091,27.40124,06-01-2011,202.80002,559.1,867.89996
-32.595833,19.009444,06-01-2011,100.8,116.3,206.80002
-25.99136,27.84208,10-01-2011,62.399998,178.09996,713.9
-26.73806,27.59194,10-01-2011,51.30002,161.90002,719.3999
-26.45,28.085833,10-01-2011,58.800003,158.30002,702.8001
-30.86013889,29.07125,10-01-2011,64.20003,264.69995,906.6
-27.356667,27.286389,10-01-2011,41.70002,148.20001,745.7001
-27.01011111,26.69808333,11-01-2011,74.500015,115.000015,710.2999
-25.73411,27.21422,11-01-2011,96.700005,156.70001,711.7001
-26.98472222,26.63227778,11-01-2011,74.79999,117.00001,722.69995
-27.398611,26.614722,11-01-2011,73.69997,125.39998,736.69995
-27.671111,27.236944,11-01-2011,64.90002,109.69991,726.3001
-29.160278,26.573333,11-01-2011,41.700027,89.000015,722.4
-34.250556,20.9925,11-01-2011,110.0,280.1,396.0
-25.45963889,28.26430556,11-01-2011,104.599976,144.00002,580.0
-25.81048333,27.90955222,12-01-2011,193.5,213.70001,656.9001
-27.273889,28.49,12-01-2011,227.70003,263.29996,783.6
-27.4275,28.525833,12-01-2011,216.30003,249.20003,763.00006
-28.883333,27.89,12-01-2011,159.50002,182.60002,722.89996
-27.00222,28.76528,13-01-2011,208.70004,242.00002,719.3
-27.02314,28.59389,13-01-2011,212.90002,243.4,722.99994
-30.534167,24.961944,13-01-2011,61.299984,69.80003,468.20007
-28.460833,21.248889,13-01-2011,59.800026,65.70003,448.30002
-29.658056,25.973333,14-01-2011,95.00002,106.500015,595.50006
-28.760833,17.730278,16-01-2011,9.6,17.199993,90.49999
-25.513889,31.224444,17-01-2011,257.40002,315.00003,730.9
-26.861111,28.884722,17-01-2011,199.5,230.50003,682.0
-31.554722,29.245556,17-01-2011,284.40002,424.40012,972.2
-28.058889,30.373611,17-01-2011,209.4,256.10004,749.9
-25.127778,27.628889,18-01-2011,198.10002,220.20001,584.2999
-25.20639,27.558,18-01-2011,200.2,220.50002,602.19995
-24.69514,27.40906,18-01-2011,214.5,235.00002,613.0
-25.681111,31.783333,18-01-2011,174.79999,205.79996,540.3
-27.802778,28.768333,18-01-2011,196.29999,227.70004,723.6001
-27.398611,26.614722,18-01-2011,153.89996,163.09998,709.19995
-31.104278,29.399722,18-01-2011,283.59998,407.59998,936.7001
-31.396,29.2651,18-01-2011,293.80002,424.00003,964.89996
-33.38056,19.30167,18-01-2011,65.60002,204.5,347.79996
-33.31388889,19.07472222,18-01-2011,64.50001,202.4,348.8
-27.495556,26.074722,18-01-2011,132.70004,142.49998,704.2999
-24.39619444,27.08983333,19-01-2011,184.4,206.5,575.7999
-26.970278,27.211111,19-01-2011,173.5,189.6999,675.89996
-26.880278,26.965,19-01-2011,169.29999,183.5,676.6001
-27.273889,28.49,19-01-2011,227.70003,263.29996,783.6
-27.3,28.586944,19-01-2011,221.09998,256.49997,764.9
-27.044444,27.005,19-01-2011,167.5,182.09999,690.9
-30.568333,29.422778,19-01-2011,248.59999,344.5,858.10004
-30.570833,29.150556,19-01-2011,237.20001,313.1,820.3
-34.031944,22.053333,19-01-2011,90.8,237.6,387.3999
-33.13083,18.86278,19-01-2011,48.7,157.60002,297.39996
-33.7075,18.97444444,19-01-2011,88.30002,276.3,453.2
-25.57877778,29.12747222,19-01-2011,223.29999,247.09998,625.19995
-26.006389,29.253889,20-01-2011,228.29996,258.8,657.4
-27.02314,28.59389,20-01-2011,212.90002,243.4,722.99994
-30.679722,26.7125,20-01-2011,122.70001,152.49998,642.5
-28.460833,21.248889,20-01-2011,59.800026,65.70003,448.30002
-30.77586667,29.03221667,20-01-2011,242.0,334.3001,851.9
-24.925278,29.324444,21-01-2011,216.60004,243.80003,555.5
-28.460833,21.248889,21-01-2011,59.800026,65.70003,448.30002
-24.679167,30.8025,24-01-2011,328.80002,420.2999,922.9
-25.99136,27.84208,24-01-2011,194.9,215.69995,673.00006
-25.49037,30.6986,24-01-2011,285.0,343.09998,747.80005
-26.970278,27.211111,24-01-2011,173.5,189.6999,675.89996
-27.671111,27.236944,24-01-2011,153.70001,166.69992,699.6001
-27.356667,27.286389,24-01-2011,164.80002,179.80002,684.6001
-27.01011111,26.69808333,25-01-2011,160.50002,168.70001,687.8999
-26.98472222,26.63227778,25-01-2011,161.4,170.5,700.69995
-27.398611,26.614722,25-01-2011,153.89996,163.09998,709.19995
-33.818056,19.694722,25-01-2011,72.40001,219.0,365.40005
-25.45963889,28.26430556,25-01-2011,202.69998,226.00002,587.7
-33.897778,20.012778,25-01-2011,64.30001,181.40001,313.0
-25.81048333,27.90955222,26-01-2011,193.5,213.70001,656.9001
-34.065833,20.404167,26-01-2011,67.0,186.19998,312.40002
-24.058889,31.237222,26-01-2011,156.00002,179.60002,451.7
-26.648056,27.089444,26-01-2011,172.10004,187.79999,663.9001
-26.880278,26.965,26-01-2011,169.29999,183.5,676.6001
-27.273889,28.49,26-01-2011,227.70003,263.29996,783.6
-27.044444,27.005,26-01-2011,167.5,182.09999,690.9
-34.092222,21.295278,26-01-2011,93.90001,220.09998,356.00003
-27.02314,28.59389,27-01-2011,212.90002,243.4,722.99994
-26.73806,27.59194,27-01-2011,182.40002,200.30002,667.0999
-28.760833,17.730278,30-01-2011,9.6,17.199993,90.49999
-26.861111,28.884722,31-01-2011,199.5,230.50003,682.0
-26.73806,27.59194,31-01-2011,182.40002,200.30002,667.0999
-25.127778,27.628889,01-02-2011,198.10002,220.20001,584.2999
-24.69514,27.40906,01-02-2011,214.5,235.00002,613.0
-27.363611,31.783333,01-02-2011,189.7,236.0,586.50006
-27.802778,28.768333,01-02-2011,196.29999,227.70004,723.6001
-29.160278,26.573333,01-02-2011,121.10003,134.90002,682.0
-34.329722,18.990278,01-02-2011,149.40001,337.10007,520.8
-25.20639,27.558,02-02-2011,200.2,220.50002,602.19995
-23.281,30.54305556,03-02-2011,224.0,269.5,621.80005
-28.801278,31.955389,03-02-2011,247.59998,481.2999,1023.80005
-27.00222,28.76528,03-02-2011,208.70004,242.00002,719.3
-27.02314,28.59389,03-02-2011,212.90002,243.4,722.99994
-27.3,28.586944,03-02-2011,221.09998,256.49997,764.9
-30.679722,26.7125,03-02-2011,122.70001,152.49998,642.5
-28.460833,21.248889,03-02-2011,59.800026,65.70003,448.30002
-28.460833,21.248889,04-02-2011,59.800026,65.70003,448.30002
-29.140556,31.391944,07-02-2011,258.49997,431.4,945.4
-25.99136,27.84208,07-02-2011,194.9,215.69995,673.00006
-24.058889,31.237222,07-02-2011,156.00002,179.60002,451.7
-26.73806,27.59194,07-02-2011,182.40002,200.30002,667.0999
-30.86013889,29.07125,07-02-2011,248.40002,342.79996,858.5
-27.356667,27.286389,07-02-2011,164.80002,179.80002,684.6001
-28.058889,30.373611,07-02-2011,209.4,256.10004,749.9
-27.01011111,26.69808333,08-02-2011,160.50002,168.70001,687.8999
-27.169444,29.233889,08-02-2011,198.10002,231.8,670.49994
-26.98472222,26.63227778,08-02-2011,161.4,170.5,700.69995
-27.398611,26.614722,08-02-2011,153.89996,163.09998,709.19995
-27.573056,24.746389,08-02-2011,114.5,116.49998,661.2
-33.501667,21.624167,08-02-2011,59.700005,125.900024,260.30002
-32.502778,19.535833,08-02-2011,20.8,70.2,184.8
-25.45963889,28.26430556,08-02-2011,202.69998,226.00002,587.7
-26.970278,27.211111,09-02-2011,173.5,189.6999,675.89996
-27.273889,28.49,09-02-2011,227.70003,263.29996,783.6
-28.69485,28.23487,09-02-2011,164.40002,189.80002,732.0
-28.883333,27.89,09-02-2011,159.50002,182.60002,722.89996
-27.02314,28.59389,10-02-2011,212.90002,243.4,722.99994
-30.679722,26.7125,10-02-2011,122.70001,152.49998,642.5
-30.534167,24.961944,10-02-2011,61.299984,69.80003,468.20007
-34.031944,22.053333,10-02-2011,90.8,237.6,387.3999
-34.039722,22.133333,10-02-2011,95.6,244.7,397.4
-32.595833,19.009444,10-02-2011,34.100002,110.40001,226.70003
-28.801278,31.955389,11-02-2011,247.59998,481.2999,1023.80005
-29.658056,25.973333,11-02-2011,95.00002,106.500015,595.50006
