Latitude,Longitude,Sample Date,ppt_roll3,ppt_roll6,ppt_roll12
-28.760833,17.730278,02-01-2011,41.800000000000004,47.2,66.9
-26.861111,28.884722,03-01-2011,281.2,516.4000000000001,631.8000000000001
-26.45,28.085833,03-01-2011,273.1,497.6,625.9000000000001
-27.671111,27.236944,03-01-2011,356.7,590.8000000000001,721.3000000000002
-27.356667,27.286389,03-01-2011,330.3,556.3,685.6999999999999
-27.01011111,26.69808333,04-01-2011,275.7,631.7,699.8
-25.127778,27.628889,04-01-2011,216.5,502.0,581.7
-25.20639,27.558,04-01-2011,228.3,517.5000000000001,599.0000000000001
-24.69514,27.40906,04-01-2011,231.3,520.8,590.8
-26.98472222,26.63227778,04-01-2011,281.6,638.5,709.7
-28.141944,26.417778,04-01-2011,262.70000000000005,655.3,719.1
-27.398611,26.614722,04-01-2011,271.40000000000003,641.8000000000002,720.4000000000001
-33.501667,21.624167,04-01-2011,45.900000000000006,113.4,250.5
-32.502778,19.535833,04-01-2011,30.2,50.2,164.1
-25.45963889,28.26430556,04-01-2011,218.9,526.5,591.1
-27.495556,26.074722,04-01-2011,292.20000000000005,633.6,707.9000000000001
-26.648056,27.089444,05-01-2011,255.20000000000002,598.2,692.6
-26.970278,27.211111,05-01-2011,255.2,612.6,717.8000000000001
-27.38972222,26.46388889,05-01-2011,282.70000000000005,657.4,759.1999999999999
-27.044444,27.005,05-01-2011,263.50000000000006,627.7000000000002,729.8000000000001
-30.830556,26.921389,06-01-2011,205.70000000000002,524.0,780.2
-27.00222,28.76528,06-01-2011,219.3,515.1999999999999,764.3000000000001
-27.02314,28.59389,06-01-2011,214.4,515.6,768.5
-30.679722,26.7125,06-01-2011,198.20000000000002,520.8000000000001,766.2
-30.160091,27.40124,06-01-2011,221.20000000000002,630.6999999999999,953.5000000000001
-32.595833,19.009444,06-01-2011,123.60000000000001,139.60000000000002,233.8
-25.99136,27.84208,10-01-2011,60.3,144.89999999999998,787.1000000000001
-26.73806,27.59194,10-01-2011,49.5,140.0,760.0
-26.45,28.085833,10-01-2011,58.2,147.5,741.8
-30.86013889,29.07125,10-01-2011,39.6,277.90000000000003,1039.7
-27.356667,27.286389,10-01-2011,41.6,144.70000000000002,786.6000000000001
-27.01011111,26.69808333,11-01-2011,77.6,118.4,749.0999999999998
-25.73411,27.21422,11-01-2011,98.20000000000002,140.60000000000002,752.2000000000002
-26.98472222,26.63227778,11-01-2011,77.4,118.30000000000001,761.7999999999998
-27.398611,26.614722,11-01-2011,76.30000000000001,127.2,778.1000000000001
-27.671111,27.236944,11-01-2011,66.60000000000001,108.4,771.9000000000002
-29.160278,26.573333,11-01-2011,42.0,76.9,770.4000000000001
-34.250556,20.9925,11-01-2011,78.60000000000001,304.20000000000005,424.5
-25.45963889,28.26430556,11-01-2011,107.10000000000001,138.60000000000002,614.9
-25.81048333,27.90955222,12-01-2011,200.9,212.5,721.0
-27.273889,28.49,12-01-2011,237.10000000000002,265.3,835.2
-27.4275,28.525833,12-01-2011,225.5,252.10000000000002,834.6
-28.883333,27.89,12-01-2011,165.8,180.90000000000003,876.3000000000002
-27.00222,28.76528,13-01-2011,217.20000000000002,243.6,758.8
-27.02314,28.59389,13-01-2011,221.8,247.0,762.6
-30.534167,24.961944,13-01-2011,64.60000000000001,73.5,493.0
-28.460833,21.248889,13-01-2011,63.10000000000001,69.30000000000001,472.1
-29.658056,25.973333,14-01-2011,98.9,106.9,628.9000000000001
-28.760833,17.730278,16-01-2011,10.100000000000001,18.1,95.20000000000002
-25.513889,31.224444,17-01-2011,263.8,299.20000000000005,774.2
-26.861111,28.884722,17-01-2011,207.3,232.1,719.4
-31.554722,29.245556,17-01-2011,346.8,509.59999999999997,1169.4000000000003
-28.058889,30.373611,17-01-2011,218.9,265.1,897.7
-25.127778,27.628889,18-01-2011,206.3,224.2,620.4
-25.20639,27.558,18-01-2011,208.0,222.5,639.5999999999999
-24.69514,27.40906,18-01-2011,223.3,239.4,651.0
-25.681111,31.783333,18-01-2011,180.20000000000002,204.50000000000003,572.7
-27.802778,28.768333,18-01-2011,204.90000000000003,231.20000000000002,829.0
-27.398611,26.614722,18-01-2011,161.0,168.4,748.9000000000001
-31.104278,29.399722,18-01-2011,306.0,430.00000000000006,1101.9
-31.396,29.2651,18-01-2011,323.0,479.40000000000003,1136.4
-33.38056,19.30167,18-01-2011,59.2,173.70000000000002,368.8
-33.31388889,19.07472222,18-01-2011,56.599999999999994,170.40000000000003,369.80000000000007
-27.495556,26.074722,18-01-2011,138.10000000000002,143.0,743.8000000000001
-24.39619444,27.08983333,19-01-2011,190.5,205.10000000000002,613.2
-26.970278,27.211111,19-01-2011,180.9,193.0,713.4
-26.880278,26.965,19-01-2011,176.70000000000002,187.5,714.0999999999999
-27.273889,28.49,19-01-2011,237.10000000000002,265.3,835.2
-27.3,28.586944,19-01-2011,230.5,259.40000000000003,819.8000000000002
-27.044444,27.005,19-01-2011,174.8,185.8,728.8000000000001
-30.568333,29.422778,19-01-2011,254.40000000000003,318.0,971.0999999999999
-30.570833,29.150556,19-01-2011,244.5,302.20000000000005,953.6000000000001
-34.031944,22.053333,19-01-2011,87.4,212.3,415.5
-33.13083,18.86278,19-01-2011,46.2,140.1,317.4
-33.7075,18.97444444,19-01-2011,77.30000000000001,226.6,483.6000000000001
-25.57877778,29.12747222,19-01-2011,232.8,251.70000000000002,660.2
-26.006389,29.253889,20-01-2011,237.8,262.6,693.3
-27.02314,28.59389,20-01-2011,221.8,247.0,762.6
-30.679722,26.7125,20-01-2011,128.20000000000002,157.3,678.1000000000001
-28.460833,21.248889,20-01-2011,63.10000000000001,69.30000000000001,472.1
-30.77586667,29.03221667,20-01-2011,249.00000000000003,318.50000000000006,942.4000000000001
-24.925278,29.324444,21-01-2011,226.10000000000002,249.5,588.0000000000001
-28.460833,21.248889,21-01-2011,63.10000000000001,69.30000000000001,472.1
-24.679167,30.8025,24-01-2011,338.5,384.5,981.4000000000001
-25.99136,27.84208,24-01-2011,202.5,215.3,743.3000000000001
-25.49037,30.6986,24-01-2011,291.5,326.40000000000003,792.7
-26.970278,27.211111,24-01-2011,180.9,193.0,713.4
-27.671111,27.236944,24-01-2011,160.5,170.9,743.7000000000002
-27.356667,27.286389,24-01-2011,172.20000000000002,184.60000000000002,721.8
-27.01011111,26.69808333,25-01-2011,168.20000000000002,175.5,725.2999999999998
-26.98472222,26.63227778,25-01-2011,168.90000000000003,176.20000000000002,738.5
-27.398611,26.614722,25-01-2011,161.0,168.4,748.9000000000001
-33.818056,19.694722,25-01-2011,69.0,195.60000000000002,394.3
-25.45963889,28.26430556,25-01-2011,211.10000000000002,229.60000000000002,622.5000000000001
-33.897778,20.012778,25-01-2011,63.400000000000006,167.4,333.00000000000006
-25.81048333,27.90955222,26-01-2011,200.9,212.5,721.0
-34.065833,20.404167,26-01-2011,65.0,169.1,333.3
-24.058889,31.237222,26-01-2011,164.20000000000002,189.0,475.40000000000003
-26.648056,27.089444,26-01-2011,179.70000000000002,192.20000000000002,701.8000000000001
-26.880278,26.965,26-01-2011,176.70000000000002,187.5,714.0999999999999
-27.273889,28.49,26-01-2011,237.10000000000002,265.3,835.2
-27.044444,27.005,26-01-2011,174.8,185.8,728.8000000000001
-34.092222,21.295278,26-01-2011,92.6,213.8,403.70000000000005
-27.02314,28.59389,27-01-2011,221.8,247.0,762.6
-26.73806,27.59194,27-01-2011,189.8,201.3,704.1000000000001
-28.760833,17.730278,30-01-2011,10.100000000000001,18.1,95.20000000000002
-26.861111,28.884722,31-01-2011,207.3,232.1,719.4
-26.73806,27.59194,31-01-2011,189.8,201.3,704.1000000000001
-25.127778,27.628889,01-02-2011,206.3,224.2,620.4
-24.69514,27.40906,01-02-2011,223.3,239.4,651.0
-27.363611,31.783333,01-02-2011,195.5,234.10000000000002,622.2
-27.802778,28.768333,01-02-2011,204.90000000000003,231.20000000000002,829.0
-29.160278,26.573333,01-02-2011,126.10000000000001,135.70000000000002,727.7
-34.329722,18.990278,01-02-2011,112.7,284.3,556.8
-25.20639,27.558,02-02-2011,208.0,222.5,639.5999999999999
-23.281,30.54305556,03-02-2011,234.0,278.70000000000005,654.3000000000001
-28.801278,31.955389,03-02-2011,245.5,475.20000000000005,1122.0
-27.00222,28.76528,03-02-2011,217.20000000000002,243.6,758.8
-27.02314,28.59389,03-02-2011,221.8,247.0,762.6
-27.3,28.586944,03-02-2011,230.5,259.40000000000003,819.8000000000002
-30.679722,26.7125,03-02-2011,128.20000000000002,157.3,678.1000000000001
-28.460833,21.248889,03-02-2011,63.10000000000001,69.30000000000001,472.1
-28.460833,21.248889,04-02-2011,63.10000000000001,69.30000000000001,472.1
-29.140556,31.391944,07-02-2011,270.9,450.6,994.6000000000001
-25.99136,27.84208,07-02-2011,202.5,215.3,743.3000000000001
-24.058889,31.237222,07-02-2011,164.20000000000002,189.0,475.40000000000003
-26.73806,27.59194,07-02-2011,189.8,201.3,704.1000000000001
-30.86013889,29.07125,07-02-2011,255.60000000000002,328.40000000000003,937.0000000000001
-27.356667,27.286389,07-02-2011,172.20000000000002,184.60000000000002,721.8
-28.058889,30.373611,07-02-2011,218.9,265.1,897.7
-27.01011111,26.69808333,08-02-2011,168.20000000000002,175.5,725.2999999999998
-27.169444,29.233889,08-02-2011,206.7,237.7,716.8000000000001
-26.98472222,26.63227778,08-02-2011,168.90000000000003,176.20000000000002,738.5
-27.398611,26.614722,08-02-2011,161.0,168.4,748.9000000000001
-27.573056,24.746389,08-02-2011,120.5,122.7,696.1
-33.501667,21.624167,08-02-2011,62.8,132.5,273.90000000000003
-32.502778,19.535833,08-02-2011,21.6,73.2,195.20000000000002
