unnamed: 0,latitude,longitude,sample date,total alkalinity,electrical conductance,dissolved reactive phosphorus,qa,red,blue,drad,emis,emsd,lwir,trad,urad,atran,cdist,green,nir08,lwir.1,swir16,swir22,cloud_qa,qa_pixel,qa_radsat,atmos_opacity,nvdi,savi,bsi,ndbi,tcwi,evi,osavi,gndvi,gcvi,msi,bui,tc brightness,tc greenness,nbr,ndsi,green/red ratio,ndgi,ui (urban index),nbr2,red/nir ratio,green/nir ratio
0,-28.760833,17.730278,2011-01-02,128.912,555.0,10.0,172.0,12802.0,9557.0,890.0,9880.0,,44344.0,8935.0,1835.0,7669.0,2447.5,11426.0,11190.0,44344.0,7687.5,7645.0,32.0,5504.0,,8.0,-0.067189063021007,-0.1007814942169428,-0.0062444678864598,-0.1855383392928089,2757.192849999999,-0.24685308260083919,-0.07793879333915746,-0.010435090201627167,-0.02065464729564148,0.6869973190348525,-0.11834927627180192,23738.9605,-5070.38975,0.18821343243960711,0.19559473670442357,0.8925167942508982,-0.05679379230642232,-0.43342977706176933,0.0027718897766182945,1.1440571939231456,1.0210902591599642
1,-26.861111,28.884722,2011-01-03,74.72,162.9,163.0,213.0,9241.5,8691.0,747.0,9570.5,,45396.5,9097.0,1477.5,7957.5,476.5,9550.0,17658.5,45396.5,13746.5,10574.0,,5440.0,,46.0,0.3128996282527881,0.4693407185740041,-0.068132759057512,-0.1245661518866422,-2356.4101500000006,2.6548700479434775,0.36296140989495973,0.2980134884319238,0.8490575916230367,0.7784636294135968,-0.4374657801394303,28516.804799999998,2238.8881500000007,0.2509342070309041,-0.18013435494602192,1.0333820267272629,0.016416997046537,-0.18923270566493722,0.13044550893279333,0.5233456975394286,0.5408160376022878
2,-26.45,28.085833,2011-01-03,89.254,573.0,80.0,298.0,12540.0,9502.5,329.0,9670.5,89.5,41467.5,7739.0,590.0,9051.0,178.5,10720.0,15210.0,41467.5,17974.0,14201.0,2.0,5440.0,,9.0,0.0962162162162162,0.1443217239329021,0.1050492064498021,0.0832931533269045,-6416.518949999999,0.34797794836372165,0.11161016729272911,0.17315850366371,0.41884328358208944,1.1817225509533202,-0.012923062889311707,32105.37945,-2136.5198499999988,0.034306891979191456,-0.2528054645570503,0.8548644338118022,-0.07824591573516768,0.011946431550335257,0.11726495726495727,0.8244575936883629,0.7047994740302432
3,-27.671111,27.236944,2011-01-03,82.0,203.6,101.0,284.0,11237.5,9693.5,1198.0,9756.5,96.5,46121.0,8990.0,2550.0,6476.0,381.5,10943.0,14887.0,46121.0,13522.0,11403.0,,5440.0,,48.0,0.1396964535206415,0.2095406698564593,0.0036278881232265,-0.048048153754092,-2437.221200000001,0.949228808489609,0.1620468936246443,0.1526906697638405,0.3604130494379969,0.9083092631154699,-0.1877446072747335,28642.6386,-1642.9299499999997,0.13252187143400532,-0.10541590026568567,0.9737931034482759,-0.013277428371767994,-0.11860291818764623,0.08501504513540623,0.7548532276482838,0.73507086719957
4,-27.356667,27.286389,2011-01-03,56.1,145.1,151.0,260.0,9290.0,8718.0,1187.0,9829.5,95.0,44381.0,8547.0,2526.0,6521.0,930.0,9502.5,16828.5,44381.0,12665.5,9643.0,,5440.0,,106.5,0.2886268353848804,0.432931965236035,-0.0755968169761273,-0.1411473520037973,-1434.770050000002,2.623181849815575,0.33480507805530607,0.2782271846872508,0.7709550118389898,0.7526220399916808,-0.4297741873886777,27346.556450000004,1684.9050500000003,0.27144287252327975,-0.14268314687838327,1.0228740581270184,0.011307702540907277,-0.22501542383362838,0.13548647376560505,0.5520396945657664,0.5646670826276852
5,-27.01011111,26.69808333,2011-01-04,82.2,289.8,192.0,274.0,10728.5,9344.0,1245.0,9804.5,67.0,44339.0,8492.0,2668.0,6332.0,592.0,10433.5,12433.5,44339.0,9579.5,8531.5,1.0,5440.0,,101.0,0.0736119506087557,0.1104155423637344,-0.0349170141735277,-0.1296506609730613,521.4269500000005,0.6337818749535351,0.08538927284847354,0.08746228189093454,0.1916902285905977,0.7704588410343025,-0.203262611581817,24239.8692,-2744.781549999998,0.18611972334843788,0.04267226302903113,0.9725031458265367,-0.013940081277762027,-0.2578154676828106,0.05786538567721274,0.8628704709052157,0.8391442473961475
6,-25.127778,27.628889,2011-01-04,125.0,438.0,163.0,-4740.0,5122.0,4984.0,-4376.0,-117.0,-4978.5,22583.0,-497.5,-3682.5,-1702.5,-4990.5,5189.5,7814.0,22583.0,6664.0,5222.0,,2720.5,,-4690.0,0.2081014223871366,0.3121400687975882,-0.0411649853563293,-0.0794308606161072,-1002.7254499999996,5.766923736075407,0.24139466425894546,0.2018302764640289,0.5057327295500529,0.8528282569746609,-0.2875322830032438,14117.619899999998,-184.10369999999966,0.19883399815894445,-0.12439363900957523,1.0131784459195627,0.006546089317752024,-0.13416470959244575,0.12131919905771496,0.6554901458919887,0.6641284873304325
7,-25.20639,27.558,2011-01-04,116.62,568.0,69.0,633.5,9985.0,10039.0,1244.5,9619.0,54.0,44583.0,8744.0,2629.0,6600.5,1.5,10466.5,14137.5,44583.0,10315.5,8536.0,,5568.0,,690.5,0.1721421909006114,0.2582079343365253,-0.0871461654338197,-0.1562998405103668,443.5513499999993,-8.345056270096462,0.1996836169808802,0.14920338156397334,0.350738069077533,0.7296551724137931,-0.32844203141097816,25436.47995,-1262.3420500000004,0.24705052153394932,0.007265903185448946,1.0482223335002503,0.023543505366354547,-0.22434091032637793,0.09439567143198153,0.7062776304155615,0.7403359858532272
8,-24.69514,27.40906,2011-01-04,181.831,583.0,158.0,650.5,10524.0,9921.0,1284.0,9529.0,80.0,45279.0,8948.5,2725.0,6481.0,3.0,10647.0,15543.0,45279.0,11919.5,9642.5,,5568.0,,622.5,0.1925422948555645,0.2888079025606598,-0.0630485832072222,-0.1319435593991807,-528.8783999999996,2.9313164349959115,0.22334769111786631,0.18694158075601375,0.459847844463229,0.7668725471273242,-0.3244858542547452,27515.042,-604.7715499999991,0.23428163030315063,-0.05638889504353799,1.0116875712656785,0.005809834207170185,-0.22157490285858727,0.10560244875243484,0.6770893649874542,0.685002895193978
9,-26.98472222,26.63227778,2011-01-04,196.0,452.0,158.0,303.5,10262.5,9414.0,1237.0,9693.0,77.0,46784.0,9156.0,2652.0,6366.0,274.5,10207.0,13683.0,46784.0,14011.5,11850.5,,5440.0,,123.0,0.1428452109999791,0.2142633425206715,0.0248464250279707,0.0118615609597573,-3907.35415,1.8373979372582725,0.165699337583512,0.14550020929259105,0.340550602527677,1.0240078930059198,-0.1309836500402218,27549.77935,-1766.1280500000007,0.07176846104137702,-0.15709065383900736,0.9945919610231425,-0.0027113510344659126,0.01857044811515851,0.08355888949037198,0.7500182708470364,0.7459621428049404
