Latitude,Longitude,Sample Date,emis,atran,swir16,atmos_opacity,green,drad,red,swir22,emsd,cdist,nir08,blue,trad,lwir,urad,NVDI,SAVI,BSI,NDBI,TCWI
-28.760833,17.730278,02-01-2011,9880.0,7669.0,7687.5,8.0,11426.0,890.0,12802.0,7645.0,,2447.5,11190.0,9557.0,8935.0,44344.0,1835.0,-0.06718906302100701,-0.1007814942169428,-0.006244467886459811,-0.1855383392928089,2757.192849999999
-26.861111,28.884722,03-01-2011,9570.5,7957.5,13746.5,46.0,9550.0,747.0,9241.5,10574.0,,476.5,17658.5,8691.0,9097.0,45396.5,1477.5,0.3128996282527881,0.46934071857400417,-0.06813275905751204,-0.12456615188664226,-2356.4101500000006
-26.45,28.085833,03-01-2011,9670.5,9051.0,17974.0,9.0,10720.0,329.0,12540.0,14201.0,89.5,178.5,15210.0,9502.5,7739.0,41467.5,590.0,0.09621621621621622,0.1443217239329021,0.10504920644980217,0.08329315332690453,-6416.518949999999
-27.671111,27.236944,03-01-2011,9756.5,6476.0,13522.0,48.0,10943.0,1198.0,11237.5,11403.0,96.5,381.5,14887.0,9693.5,8990.0,46121.0,2550.0,0.13969645352064156,0.20954066985645936,0.003627888123226591,-0.048048153754092014,-2437.221200000001
-27.356667,27.286389,03-01-2011,9829.5,6521.0,12665.5,106.5,9502.5,1187.0,9290.0,9643.0,95.0,930.0,16828.5,8718.0,8547.0,44381.0,2526.0,0.28862683538488043,0.43293196523603505,-0.07559681697612732,-0.14114735200379738,-1434.770050000002
-27.01011111,26.69808333,04-01-2011,9804.5,6332.0,9579.5,101.0,10433.5,1245.0,10728.5,8531.5,67.0,592.0,12433.5,9344.0,8492.0,44339.0,2668.0,0.07361195060875572,0.11041554236373448,-0.0349170141735277,-0.12965066097306138,521.4269500000005
-25.127778,27.628889,04-01-2011,-117.0,-1702.5,6664.0,-4690.0,5189.5,-4376.0,5122.0,5222.0,-4978.5,-4990.5,7814.0,4984.0,-497.5,22583.0,-3682.5,0.20810142238713666,0.31214006879758827,-0.04116498535632932,-0.0794308606161072,-1002.7254499999995
-25.20639,27.558,04-01-2011,9619.0,6600.5,10315.5,690.5,10466.5,1244.5,9985.0,8536.0,54.0,1.5,14137.5,10039.0,8744.0,44583.0,2629.0,0.17214219090061147,0.2582079343365253,-0.08714616543381973,-0.15629984051036683,443.5513499999993
-24.69514,27.40906,04-01-2011,9529.0,6481.0,11919.5,622.5,10647.0,1284.0,10524.0,9642.5,80.0,3.0,15543.0,9921.0,8948.5,45279.0,2725.0,0.1925422948555645,0.2888079025606598,-0.06304858320722224,-0.1319435593991807,-528.8783999999996
-26.98472222,26.63227778,04-01-2011,9693.0,6366.0,14011.5,123.0,10207.0,1237.0,10262.5,11850.5,77.0,274.5,13683.0,9414.0,9156.0,46784.0,2652.0,0.14284521099997913,0.21426334252067153,0.0248464250279707,0.011861560959757352,-3907.35415
-28.141944,26.417778,04-01-2011,9719.0,6665.0,13799.5,89.0,9840.0,1141.0,9679.0,11265.0,48.5,2404.0,14391.0,9085.5,8796.5,45407.0,2396.0,0.19576235978396345,0.2936374400199414,4.2593972952827175e-05,-0.020982245792022135,-3561.9371999999994
-27.398611,26.614722,04-01-2011,9792.0,6223.0,12823.0,158.5,10247.0,1277.0,10126.0,10403.5,62.0,210.5,15515.5,9253.5,8630.5,44909.5,2745.0,0.21018661154768636,0.31527376959675535,-0.03814074353493441,-0.09501208603137075,-1838.6511499999997
-33.501667,21.624167,04-01-2011,,,,,,,,,,,,,,,,,,,,
-32.502778,19.535833,04-01-2011,9522.0,7154.0,19330.0,8.0,13104.0,1139.0,14613.0,16984.0,54.0,8443.5,17653.0,10579.0,10014.5,48033.5,2404.5,0.09421682266162525,0.1413230440239877,0.09185363892239647,0.045345158586377526,-6504.435500000001
-25.45963889,28.26430556,04-01-2011,9636.0,8932.0,15156.5,8.0,9926.0,379.0,11096.0,12552.5,176.0,1058.0,13959.0,9139.0,7980.5,42157.0,692.0,0.11426860906006785,0.17139949312526193,0.06392032502203625,0.04112929539248854,-4771.615000000002
-27.495556,26.074722,04-01-2011,9696.5,5873.0,18143.5,199.0,11044.5,1357.0,11540.5,14152.5,81.0,738.5,17937.5,9490.5,8713.0,45910.5,2958.0,0.21700929506750796,0.32550842139186187,0.03950133071858804,0.0057093761259388595,-5851.706900000002
-26.648056,27.089444,05-01-2011,9836.5,6536.0,12954.5,144.0,9597.0,1183.0,8963.5,9447.5,74.0,661.5,19310.5,8535.0,8492.0,44131.5,2526.0,0.36595458725330693,0.548922173690074,-0.11911340641233033,-0.1969936463660313,-821.9018999999998
-26.970278,27.211111,05-01-2011,9856.0,6509.5,7946.5,101.0,11040.0,1194.5,11496.0,7735.0,128.0,390.5,10218.0,9671.5,8437.0,43899.0,2549.5,-0.058856037579441835,-0.08828202353266251,-0.011364792026848368,-0.12505161166010625,1713.0545000000006
-27.38972222,26.46388889,05-01-2011,9856.0,6156.0,8583.0,210.0,11597.0,1294.0,11926.0,8196.5,98.0,1207.5,11481.0,10130.0,8575.0,44683.5,2791.0,-0.019011406844106463,-0.028516501121435438,-0.026163342830009498,-0.1444377990430622,1800.3081499999985
-27.044444,27.005,05-01-2011,9803.5,6476.0,13987.0,126.0,9908.0,1206.0,9503.5,10115.0,93.0,1193.0,17418.5,8882.5,8658.0,44809.5,2570.0,0.2939974741846817,0.4409880211718823,-0.056445377223019996,-0.10926430083902501,-2214.500249999999
-30.830556,26.921389,06-01-2011,-170.0,-1474.0,3672.5,-4995.5,4491.0,-4484.0,4479.0,3764.5,-4970.0,-4492.5,5266.5,4189.0,-665.0,22100.0,-3943.0,0.08080652608896413,0.12120357069567,-0.0740614528312603,-0.17831972256404519,453.8306500000001
-27.00222,28.76528,06-01-2011,,7294.0,13005.5,10.0,9691.0,944.0,9947.0,10754.5,,1386.0,13724.0,8743.0,8762.5,,1923.5,0.1595623336572177,0.2393384449654648,0.01068924140512335,-0.026880413026805588,-2984.5224000000007
-27.02314,28.59389,06-01-2011,9732.0,7326.0,10372.5,9.0,9969.5,933.0,10129.0,9135.0,,193.0,11490.5,8893.0,8632.0,44360.0,1897.0,0.06297555447628299,0.09446114708603146,0.0028861440626146507,-0.05113662351918767,-995.8760500000008
-30.679722,26.7125,06-01-2011,9876.0,7002.0,7764.0,9.0,10548.0,1049.0,11938.0,7659.0,99.0,2042.0,13400.0,9235.5,8372.0,43283.0,2154.0,0.05769989738732339,0.08654813820865481,-0.06928845586064364,-0.2663012663012663,2943.85295
-30.160091,27.40124,06-01-2011,9719.0,7212.0,12037.5,9.0,10060.0,974.0,10522.5,10023.5,124.0,274.5,14158.0,9063.0,8725.0,44619.5,1981.0,0.14730252628593424,0.22094931323690287,-0.014438304099954129,-0.08094901796110018,-1504.3777500000006
