latitude,longitude,sample date,emis,atran,swir16,atmos_opacity,green,drad,red,swir22,emsd,cdist,nir08,blue,trad,lwir,urad
-28.760833,17.730278,02-01-2011,9880.0,7669.0,7687.5,8.0,11426.0,890.0,12802.0,7645.0,56.99999999999999,2447.5,11190.0,9557.0,8935.0,44344.0,1835.0
-26.861111,28.884722,03-01-2011,9570.5,7957.5,13746.5,46.0,9550.0,747.0,9241.5,10574.0,-1788.1931538646934,476.5,17658.5,8691.0,9097.0,45396.5,1477.5
-26.45,28.085833,03-01-2011,9670.5,9051.0,17974.0,9.0,10720.0,329.0,12540.0,14201.0,89.5,178.5,15210.0,9502.5,7739.0,41467.5,590.0
-27.671111,27.236944,03-01-2011,9756.5,6476.0,13522.0,48.0,10943.0,1198.0,11237.5,11403.0,96.5,381.5,14887.0,9693.5,8990.0,46121.0,2550.0
-27.356667,27.286389,03-01-2011,9829.5,6521.0,12665.5,106.5,9502.5,1187.0,9290.0,9643.0,95.0,930.0,16828.5,8718.0,8547.0,44381.0,2526.0
-27.01011111,26.69808333,04-01-2011,9804.5,6332.0,9579.5,101.0,10433.5,1245.0,10728.5,8531.5,67.0,592.0,12433.5,9344.0,8492.0,44339.0,2668.0
-25.127778,27.628889,04-01-2011,-117.0,-1702.5,6664.0,-4690.0,5189.5,-4376.0,5122.0,5222.0,-4978.5,-4990.5,7814.0,4984.0,-497.5,22583.0,-3682.5
-25.20639,27.558,04-01-2011,9619.0,6600.5,10315.5,690.5,10466.5,1244.5,9985.0,8536.0,54.0,1.5,14137.5,10039.0,8744.0,44583.0,2629.0
-24.69514,27.40906,04-01-2011,9529.0,6481.0,11919.5,622.5,10647.0,1284.0,10524.0,9642.5,80.0,3.0,15543.0,9921.0,8948.5,45279.0,2725.0
-26.98472222,26.63227778,04-01-2011,9693.0,6366.0,14011.5,123.0,10207.0,1237.0,10262.5,11850.5,77.0,274.5,13683.0,9414.0,9156.0,46784.0,2652.0
-28.141944,26.417778,04-01-2011,9719.0,6665.0,13799.5,89.0,9840.0,1141.0,9679.0,11265.0,48.5,2404.0,14391.0,9085.5,8796.5,45407.0,2396.0
-27.398611,26.614722,04-01-2011,9792.0,6223.0,12823.0,158.5,10247.0,1277.0,10126.0,10403.5,62.0,210.5,15515.5,9253.5,8630.5,44909.5,2745.0
-33.501667,21.624167,04-01-2011,9633.5,7830.0,11745.75,11.0,9487.916666666666,919.6666666666666,9348.833333333334,9656.25,65.0,563.25,14045.916666666666,8620.333333333334,8381.5,42688.166666666664,1551.1666666666667
-32.502778,19.535833,04-01-2011,9522.0,7154.0,19330.0,8.0,13104.0,1139.0,14613.0,16984.0,54.0,8443.5,17653.0,10579.0,10014.5,48033.5,2404.5
-25.45963889,28.26430556,04-01-2011,9636.0,8932.0,15156.5,8.0,9926.0,379.0,11096.0,12552.5,176.0,1058.0,13959.0,9139.0,7980.5,42157.0,692.0
-27.495556,26.074722,04-01-2011,9696.5,5873.0,18143.5,199.0,11044.5,1357.0,11540.5,14152.5,81.0,738.5,17937.5,9490.5,8713.0,45910.5,2958.0
-26.648056,27.089444,05-01-2011,9836.5,6536.0,12954.5,144.0,9597.0,1183.0,8963.5,9447.5,74.0,661.5,19310.5,8535.0,8492.0,44131.5,2526.0
-26.970278,27.211111,05-01-2011,9856.0,6509.5,7946.5,101.0,11040.0,1194.5,11496.0,7735.0,128.0,390.5,10218.0,9671.5,8437.0,43899.0,2549.5
-27.38972222,26.46388889,05-01-2011,9856.0,6156.0,8583.0,210.0,11597.0,1294.0,11926.0,8196.5,98.0,1207.5,11481.0,10130.0,8575.0,44683.5,2791.0
-27.044444,27.005,05-01-2011,9803.5,6476.0,13987.0,126.0,9908.0,1206.0,9503.5,10115.0,93.0,1193.0,17418.5,8882.5,8658.0,44809.5,2570.0
-30.830556,26.921389,06-01-2011,-170.0,-1474.0,3672.5,-4995.5,4491.0,-4484.0,4479.0,3764.5,-4970.0,-4492.5,5266.5,4189.0,-665.0,22100.0,-3943.0
-27.00222,28.76528,06-01-2011,9735.445033704158,7294.0,13005.5,10.0,9691.0,944.0,9947.0,10754.5,-745.6799332058133,1386.0,13724.0,8743.0,8762.5,43511.93856051093,1923.5
