latitude,longitude,sample date,mg_diss_water_dl,cl_diss_water_dl,ca_diss_water_dl,no3_no2_n_diss_water_dl,cl_diss_water,ec_phys_water,ph_diss_water_dl,no3_no2_n_diss_water,nh4_n_diss_water_dl,na_diss_water_dl,tal_diss_water,ph_diss_water,na_diss_water,po4_p_diss_water,mg_diss_water,nh4_n_diss_water,so4_diss_water,f_diss_water_dl,ca_diss_water,ec_phys_water_dl,f_diss_water,po4_p_diss_water_dl,tal_diss_water_dl,so4_diss_water_dl
-28.760833,17.730278,02-01-2011,,,,,,,,,,,,,,,,,,,,,,,,
-26.861111,28.884722,03-01-2011,1.3923076923076925,0.3436363636363637,0.5153846153846153,0.06550000000000002,57.94533333333334,60.60518518518519,0.9553703703703704,1.3141,0.06153846153846154,0.4690833333333333,74.42923529411765,7.707592592592592,36.869875,0.6861818181818182,8.695307692307692,0.48846153846153845,119.43123529411764,0.07045454545454545,25.063615384615385,0.37391304347826093,0.41145454545454546,0.07563636363636364,3.6882352941176473,1.9576923076923076
-26.45,28.085833,03-01-2011,1.4588235294117649,0.6963999999999999,1.0,0.051000000000000004,50.122551724137935,63.80674999999999,1.7194102564102565,2.115475,0.05441176470588236,1.655135135135135,174.73486666666668,7.961999999999999,78.73702702702704,0.2416333333333333,9.46564705882353,0.3214705882352942,76.26406666666668,0.052777777777777785,17.695115384615388,0.6500000000000001,0.2780555555555555,0.02826666666666667,5.7,2.9615384615384617
-27.671111,27.236944,03-01-2011,1.5,0.09,1.0,2.3249999999999997,12.542,111.29285714285713,0.23571428571428577,5.577928571428572,0.44375,3.0,155.861,8.358357142857141,67.42,3.2432142857142856,29.65,10.928125000000001,477.813,0.05,146.753,1.0,0.083,0.9292857142857143,5.0,3.0
-27.356667,27.286389,03-01-2011,1.5,0.32875,1.0,1.6219999999999999,59.52777777777778,111.62,0.7040000000000001,6.24472,0.30312500000000003,1.9513333333333331,200.25585714285714,8.20452,45.90688888888889,2.0534,55.181285714285714,6.3510625,193.61233333333334,0.05,74.72757142857144,0.9625,0.09200000000000001,0.6507999999999998,5.0,3.875
-27.010111,26.698083,04-01-2011,1.5,0.09,1.0,1.5729729729729731,19.746285714285712,91.28225,0.8794871794871796,6.093324324324324,0.283125,2.192,195.25921428571428,8.230512820512821,20.487428571428573,3.439743589743589,43.599714285714285,11.056000000000001,140.65721428571428,0.05,65.08821428571427,0.9524999999999999,0.2324285714285714,0.602051282051282,5.0,3.0
-25.127778,27.628889,04-01-2011,1.5,0.7020833333333334,1.0,0.04250000000000001,47.93970833333333,70.05727272727273,2.0,2.6597500000000003,0.05,2.162086956521739,221.26722727272727,8.11484,112.01139130434784,0.08608333333333335,10.024318181818183,0.23154545454545455,49.61766666666667,0.05,19.783391304347823,0.7954545454545454,0.3068181818181818,0.013916666666666666,5.954545454545454,2.097916666666667
-25.20639,27.558,04-01-2011,1.5,0.6915384615384614,1.0,0.041153846153846166,45.1296923076923,63.52040000000001,2.0,2.5533076923076923,0.05000000000000001,2.1424800000000004,205.4235416666667,8.078777777777777,103.50051999999998,0.07307692307692307,9.645760000000001,0.22228,46.27053846153846,0.05000000000000001,19.409560000000003,0.7480000000000001,0.28812,0.012076923076923079,5.875,2.2807692307692307
-24.69514,27.40906,04-01-2011,1.5,0.487,1.0,0.04,51.328700000000005,57.675,2.0,0.8874000000000002,0.05,0.755,129.88412499999998,7.8725,40.65859999999999,0.1533,18.992250000000002,0.350625,50.8096,0.05,30.2557,0.6625000000000001,0.286625,0.019,6.875,1.2850000000000001
-26.984722,26.632278,04-01-2011,1.5,0.09000000000000001,1.0,1.5328947368421053,19.153599999999997,90.2680487804878,0.9075000000000001,6.020736842105263,0.2760606060606061,2.2458666666666667,198.33946666666668,8.23995,19.547133333333328,3.353875,42.8912,10.721727272727273,131.63033333333334,0.05,63.788866666666664,0.9536585365853657,0.23959999999999998,0.5872499999999999,5.0,3.0
-28.141944,26.417778,04-01-2011,0.46,2.7,0.58,,37.5,75.0,2.0,,0.18,18.0,,7.6499999999999995,24.5,2.5925000000000002,14.7,19.665,74.0,,30.0,1.4,,0.17,,4.1
-27.398611,26.614722,04-01-2011,1.5,0.09,1.0,1.840384615384615,22.082285714285714,100.24464285714285,0.7107142857142856,5.911576923076923,0.3195238095238095,2.634571428571429,171.3235714285714,8.220428571428572,24.43414285714286,2.5976785714285713,48.94385714285714,11.315095238095239,196.121,0.049999999999999996,68.8982857142857,1.0285714285714285,0.17314285714285713,0.6932142857142859,5.0,3.0
-33.501667,21.624167,04-01-2011,1.5,0.6975,1.0,0.05600000000000001,853.2827500000001,169.74200000000002,1.8199090909090907,0.776,0.06000000000000001,0.364,126.14525,6.1625,245.28674999999998,1.4046,50.994499999999995,2.92,114.30324999999999,0.05,52.22975,0.82,0.24800000000000003,0.029200000000000004,7.25,1.3125
-32.502778,19.535833,04-01-2011,1.5,0.9,1.0,0.20333333333333334,211.0,101.7,1.0,0.26666666666666666,0.21666666666666665,0.11266666666666668,113.0,6.7242500000000005,130.0,0.018666666666666668,36.3,0.19166666666666668,145.0,0.05,48.4,0.3333333333333333,0.213,0.037333333333333336,8.0,0.75
-25.459639,28.264306,04-01-2011,1.2617021276595743,0.5473684210526315,0.82,0.04977777777777778,41.25665,57.63716981132075,1.4512075471698116,1.881577777777778,0.05256410256410256,1.3922499999999998,139.36169047619046,7.3689245283018865,71.00175,0.2408888888888889,10.77787234042553,0.28935897435897434,111.34978048780489,0.05918367346938775,25.06375,0.5588235294117647,0.27446938775510205,0.0255,5.1571428571428575,1.9115384615384614
-27.495556,26.074722,04-01-2011,0.8066666666666666,1.8300000000000003,0.7200000000000001,2.067647058823529,32.608777777777775,91.80517241379312,1.0827586206896553,4.150470588235294,0.2640909090909091,12.71577777777778,88.86433333333333,8.03810344827586,34.48577777777778,1.9508620689655174,25.733444444444448,11.167136363636363,164.818,0.05000000000000001,50.16766666666667,1.1655172413793102,0.24666666666666667,0.5541379310344827,5.0,3.7333333333333334
-26.648056,27.089444,05-01-2011,1.4222222222222223,0.19611111111111112,0.9500000000000001,1.2787499999999998,33.47061904761905,92.31738095238094,0.975609756097561,6.054975,0.2359375,1.9647368421052633,192.72322222222223,8.176902439024392,27.650473684210528,2.7528048780487806,40.47833333333333,6.83178125,135.02347619047617,0.052777777777777785,62.652166666666666,0.9307692307692307,0.2327777777777778,0.5017073170731706,5.277777777777778,3.388888888888889
-26.970278,27.211111,05-01-2011,1.3833333333333335,0.24916666666666662,0.9249999999999999,1.4651515151515149,39.69513333333334,98.53857142857143,0.8205882352941177,6.5092727272727275,0.27,1.8804615384615386,189.28725,8.173411764705882,32.911153846153844,2.0839705882352937,46.41191666666666,5.6186799999999995,155.0616,0.054166666666666675,62.8005,0.915625,0.18891666666666665,0.5738235294117648,5.416666666666667,3.5833333333333335
-27.389722,26.463889,05-01-2011,1.268888888888889,0.6700000000000002,0.9066666666666667,1.840384615384615,25.508444444444443,97.0890625,0.871875,5.911576923076923,0.2972,6.049111111111111,171.3235714285714,8.149125000000002,24.448777777777778,2.59703125,41.33411111111111,12.651080000000002,168.98299999999998,0.05,60.254222222222225,1.0750000000000002,0.17314285714285713,0.6278124999999999,5.0,3.244444444444445
-27.044444,27.005,05-01-2011,1.3833333333333335,0.24916666666666668,0.9249999999999999,1.465151515151515,41.10192857142857,98.81911764705883,0.8151515151515151,6.5092727272727275,0.27708333333333335,1.8804615384615389,189.28724999999997,8.205939393939396,32.91115384615385,2.145606060606061,46.41191666666666,5.823625000000001,142.49457142857142,0.05416666666666667,62.8005,0.915625,0.18891666666666665,0.5881818181818183,5.416666666666667,3.5833333333333335
-30.830556,26.921389,06-01-2011,,,,,,,,,,,,,,,,,,,,,,,,
-27.00222,28.76528,06-01-2011,0.1,2.0,,0.11666666666666665,124.8,121.5125,0.632125,3.391666666666667,0.10000000000000002,0.1,,7.292500000000001,120.45,1.0416666666666667,13.7,2.033333333333333,184.0,0.1,,0.325,0.5,0.09999999999999999,,6.0
-27.02314,28.59389,06-01-2011,1.1888888888888889,0.9966666666666667,0.82,0.06785714285714287,84.8835,87.29461538461535,1.2336923076923076,1.5035714285714288,0.0681818181818182,0.5938181818181819,68.74983333333334,7.628538461538461,50.9430909090909,0.7033333333333334,12.05488888888889,0.5750000000000001,177.44466666666665,0.06500000000000003,31.593,0.775,0.3259,0.08022222222222222,7.333333333333333,4.4375
-30.679722,26.7125,06-01-2011,,,,,,,,,,,,,,,,,,,,,,,,
-30.160091,27.40124,06-01-2011,,,,,,,,,,,,7.6850000000000005,,,,,,,,,,,,
-32.595833,19.009444,06-01-2011,,,,0.3,,160.85,0.5,0.2625,0.3,0.0,,6.795416666666665,194.5,0.025,,0.21250000000000002,,,,0.0,,0.05,,
-25.99136,27.84208,10-01-2011,1.4688888888888887,0.881081081081081,0.9756756756756757,0.040392156862745096,50.78357142857143,60.7598,1.80038,1.8867647058823531,0.05638297872340425,1.401914893617021,155.6799512195122,7.998120000000001,74.52810638297872,0.10492857142857143,11.117333333333335,0.37787234042553186,96.4473488372093,0.05319148936170213,23.070054054054054,0.8,0.3059574468085106,0.027761904761904765,6.439024390243903,2.8092105263157894
-26.73806,27.59194,10-01-2011,1.4391304347826088,0.6253846153846154,0.94375,0.0352,40.133312499999995,41.77391304347825,1.826086956521739,1.4606799999999995,0.05476190476190477,0.6735833333333332,103.66331578947366,8.081695652173913,19.641375,0.06868749999999998,15.566565217391307,0.15528571428571425,72.25168749999999,0.05217391304347827,31.437062499999996,0.82,0.27921739130434786,0.033125,6.842105263157895,2.673076923076923
-26.45,28.085833,10-01-2011,1.4243243243243244,0.9907142857142855,0.9678571428571429,0.047954545454545444,50.69402941176471,62.843023255813954,1.6985581395348837,2.0262272727272728,0.05897435897435896,1.4896923076923076,161.8778125,7.9807906976744185,81.67697435897436,0.2305428571428571,9.198054054054055,0.4443589743589742,106.13257142857145,0.05512820512820511,18.83657142857143,0.8054054054054055,0.31494871794871787,0.03617142857142857,6.375,3.1379310344827585
-30.860139,29.07125,10-01-2011,,,,0.01,,23.0,1.0,7.369999999999999,0.08,,,6.978999999999999,,1.145,,1.1,,,,1.0,,0.1,,
-27.356667,27.286389,10-01-2011,,3.0,,0.1,208.5,127.5,1.0,9.45,,0.1,,8.0,119.55,0.35,,,162.5,,,1.0,,0.1,,10.0
-27.010111,26.698083,11-01-2011,1.5,0.09,1.0,0.05,16.307800000000004,80.81428571428572,2.0,3.1226000000000003,0.08714285714285716,1.4652,247.62640000000002,8.309428571428572,17.8628,2.4578571428571423,40.6512,14.017857142857148,99.25540000000001,0.05,73.3952,0.9857142857142857,0.2706,0.05571428571428572,5.0,3.0
-25.73411,27.21422,11-01-2011,1.5,0.3365217391304348,1.0,0.037826086956521746,30.98470833333333,49.96173913043478,1.9583333333333333,1.6158695652173913,0.05208333333333334,1.1765217391304348,151.74290909090908,8.104208333333334,25.02839130434782,0.0715,21.705434782608698,0.21575000000000003,57.70645833333333,0.05,39.01834782608696,0.6727272727272727,0.222,0.014333333333333335,5.954545454545454,2.3152173913043477
-26.984722,26.632278,11-01-2011,1.5,0.09000000000000001,1.0,0.05000000000000001,15.399166666666668,76.925,2.0,3.158,0.08249999999999999,1.721,246.59916666666666,8.34675,15.9495,2.15125,39.37133333333333,12.268749999999999,83.58850000000001,0.05000000000000001,68.76233333333333,0.9875,0.2821666666666667,0.05,5.0,3.0
-27.398611,26.614722,11-01-2011,,,,,,116.5,2.0,,0.18,,,7.85,,8.5,,49.0,,,,1.4,,0.17,,
-27.671111,27.236944,11-01-2011,,,,,,,,,,,,,,,,,,,,,,,,
-29.160278,26.573333,11-01-2011,,,,,,,,,,,,7.8136363636363635,,,,,,,,,,,,
-34.250556,20.9925,11-01-2011,1.5,0.49499999999999994,1.0,0.030000000000000002,931.5801666666667,238.285,2.0,0.17166666666666666,0.049999999999999996,0.39000000000000007,157.64633333333333,6.874444444444444,389.0695,0.033,92.85416666666667,0.024999999999999998,218.89016666666666,0.049999999999999996,68.07216666666666,1.0,0.2638333333333333,0.011000000000000001,6.5,1.875
-25.459639,28.264306,11-01-2011,1.3,0.7346341463414634,0.846341463414634,0.042916666666666665,42.26372093023256,60.226851851851855,1.5328888888888892,1.6990208333333336,0.05465116279069766,1.31012,134.81043181818183,7.472925925925926,72.75677999999999,0.12812820512820514,10.689734693877552,0.3944186046511628,119.01445454545456,0.058823529411764705,24.446439024390244,0.6711538461538461,0.29896078431372547,0.026820512820512822,5.559090909090909,2.1773809523809526
-25.810483,27.909552,12-01-2011,1.468181818181818,0.8431428571428572,0.9750000000000001,0.03770833333333334,43.96369230769231,58.577659574468086,1.8301914893617022,1.5766250000000002,0.056521739130434775,1.4829090909090907,155.47907500000002,7.990829787234044,74.10881818181817,0.09492307692307692,10.8765,0.38554347826086954,95.5184,0.05326086956521738,22.777249999999995,0.7906976744186046,0.3103478260869565,0.024512820512820513,6.475,2.6041666666666665
-27.273889,28.49,12-01-2011,0.1,3.0,,0.10000000000000002,169.33333333333334,109.0,1.0,6.316666666666666,0.1,0.10000000000000002,,7.766666666666667,106.06666666666666,1.5999999999999999,13.7,2.4,113.33333333333333,0.1,,1.0,0.3,0.10000000000000002,,10.0
